lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,lbp10,lbp11,lbp12,lbp13,lbp14,Class
12100,5123,9352,2511,9060,3047,7191,5155,7033,8637,8640,13808,1
13167,6346,9211,3471,8198,3740,6111,5251,6604,7859,7729,11310,1
13508,6458,9307,3398,7642,3540,5962,5083,5765,7474,7444,10953,1
12776,6084,9369,3297,8357,3544,6427,5379,6582,8277,8285,11920,1
12984,6327,9453,3453,8031,3769,6199,5187,6110,7315,7021,10650,1
12946,6692,9532,3642,7912,3664,6092,5096,6151,7512,7066,10595,1
12140,5507,9376,3007,9093,3480,7249,5589,7129,8472,7869,13181,1
11866,5257,9108,2627,9069,3154,7148,5285,7398,8807,9142,14104,1
13347,6304,9569,3513,8174,3611,6063,5158,6081,7514,7375,11057,1
13224,6397,9393,3387,8036,3388,5898,4739,5723,7014,7245,10868,1
11949,5295,9268,2816,8830,3194,6939,5274,7080,8483,8322,13281,1
11125,5156,9318,2573,9255,3194,7395,5490,7618,9319,8984,14935,1
12281,5439,9177,2750,8636,3142,6623,4927,6617,8205,8331,12868,1
11097,4958,9027,2460,9353,2853,7566,5254,7289,8971,8056,14044,1
13429,6665,9400,3603,7822,3858,6080,5536,6295,7709,7182,10873,1
13054,6339,9285,3574,7956,3557,6081,5205,6333,7788,7596,11262,1
12017,5482,9313,2973,8974,3272,6891,5333,6906,8290,7425,12274,1
11974,5412,9263,2816,8635,3100,6824,5226,6792,8433,8594,13461,1
11599,5184,9159,2823,9343,3159,7383,5356,7333,8677,8184,14020,1
12427,5443,9296,2995,8992,3268,7001,5273,6842,8381,8209,12977,1
11098,4795,9183,2528,9569,3103,7883,5746,7813,9671,9591,16185,1
13031,6412,9343,3722,8182,3908,6435,5413,6290,7579,7165,10741,1
13152,6294,9455,3385,8021,3249,5989,5012,6040,7476,7242,11099,1
13120,6524,9349,3819,8010,3768,6223,5408,6346,7640,7226,10903,1
12927,6439,9589,3500,8337,3656,6347,5350,6405,7538,7308,10807,1
13162,6543,9117,3495,7649,3685,5807,4968,6128,7681,7800,10802,1
13047,6296,9346,3593,8174,3723,6246,5162,6293,7808,7515,11020,1
11463,4980,9083,2491,8994,2977,7311,5318,7142,8972,8839,14599,1
12983,6591,9456,3590,8143,3789,5977,5195,6258,7704,7643,10992,1
13158,6249,9433,3506,8125,3812,6252,5344,6278,7480,7224,10623,1
13115,6706,9212,3634,7814,3670,5842,4996,5949,7233,7099,10179,1
13113,6327,9360,3481,8240,3751,6280,5428,6329,7626,7070,10879,1
11931,5281,9277,2885,8800,3208,7009,5335,7176,9066,8999,13475,1
13097,6678,9592,3745,8063,3931,6232,5426,6315,7663,7550,11092,1
12120,5432,9345,2841,8669,3045,6536,4960,6376,8359,8019,12716,1
12937,6131,9282,3451,8284,3649,6426,5298,6479,8123,8067,12050,1
12145,5177,9053,2651,8641,2791,6704,4927,6639,8726,8849,13681,1
12130,5268,9323,2736,9013,3217,7136,5183,7017,8004,7846,12867,1
12288,5498,9506,2751,9052,3027,7060,5025,6463,8190,7827,13067,1
12005,5383,9235,2643,8902,2902,6996,5164,6816,8138,8038,13006,1
11948,5551,9341,2998,8753,3286,7025,5247,7226,8135,8923,13237,1
13321,6602,9342,3649,7997,3682,6068,5173,6080,7090,6970,10442,1
13452,6432,9251,3524,7944,3581,5938,5193,6123,7545,7757,11175,1
13587,6478,9485,3500,7855,3475,5609,4773,5781,7001,7206,10079,1
11855,5311,9140,2731,8923,3248,7058,5346,7182,8678,8210,13166,1
12107,5355,9280,2824,8935,3028,6881,5050,6720,8088,8164,12952,1
11809,5141,8999,2615,8900,2933,6912,5087,6978,8499,8900,14301,1
12488,5556,9371,2770,8519,3105,6543,5083,6624,7932,8411,12947,1
12383,5560,9207,2899,8810,3158,6656,5177,6640,8137,7841,12352,1
11441,5236,9302,2817,9315,3350,7495,5600,7548,8904,8172,13832,1
12286,5374,9436,2805,8610,3222,6828,5363,6768,8718,9060,13716,1
12526,5700,9338,3060,8602,3452,6634,5394,6742,7889,7730,11844,1
11686,5385,9326,2870,9049,3196,7116,5214,6937,8517,7905,13289,1
12922,6017,9365,3219,8548,3335,6204,5125,6146,7789,7788,11855,1
13493,6396,9315,3457,7608,3371,5793,4875,5886,7248,7186,10672,1
12119,5428,9325,2891,8889,3383,6993,5340,7008,7891,7815,12083,1
11727,5134,9227,2811,9303,3242,7204,5553,7047,8547,7934,13146,1
13181,6324,9409,3414,8021,3607,6252,5160,6170,7775,7475,11121,1
12800,6204,9397,3360,8115,3644,6363,5482,6969,8443,8996,12700,1
13295,6639,9480,3627,7932,3652,6057,5313,6490,7806,7623,11296,1
13531,6667,9581,3790,7869,3620,5823,4951,5735,6921,6646,10263,1
13200,6487,9378,3403,7953,3497,6067,5211,6201,7770,7701,11305,1
13054,6473,9324,3457,8205,3607,6462,5462,6546,8179,7888,11765,1
13416,6659,9555,3623,7885,3563,5867,4978,5847,7053,7167,10641,1
13474,6607,9416,3633,7893,3731,6055,5349,6089,7662,7289,10716,1
12850,6133,9479,3424,8343,3548,6636,5464,7020,8691,8541,13035,1
13431,6457,9355,3512,8000,3466,5982,4885,5807,7057,6763,10263,1
12232,5679,9294,3161,8529,3380,6972,5361,7004,8579,8528,13019,1
13607,6855,9283,3578,7695,3548,5583,4748,5573,6732,6487,9793,1
13091,6328,9602,3776,8333,3922,6445,5509,6626,8500,7945,12025,1
12763,6474,9328,3366,8355,3586,6338,5327,6256,7826,7394,11403,1
11629,5160,9292,2778,9100,3200,7476,5553,7648,9649,9304,15106,1
11784,5117,9370,2851,8970,3374,7025,5595,7441,9431,9303,14140,1
10197,4572,9129,2589,10030,3468,8544,6851,9453,11961,12392,19254,1
12963,6512,9340,3800,8190,3894,6488,5717,6890,8682,8782,12769,1
12259,5972,9329,3270,8984,3759,7068,5903,7481,9221,9247,13662,1
12465,6061,9468,3524,8575,3895,6741,5685,6979,8984,8961,13152,1
